cds,adcod,cdscod,media_voto,genere,etaimm,citttipo,rn
[E1301Q] SCIENZE BIOLOGICHE,E1301Q060,E1301Q,30.0,M,20,Italiana,2
[E1301Q] SCIENZE BIOLOGICHE,E1301Q062,E1301Q,30.0,F,20,Italiana,7
[E1301Q] SCIENZE BIOLOGICHE,E1301Q064,E1301Q,30.0,F,19,Italiana,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A010,E1401A,29.0,M,19,Italiana,10
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A005,E1401A,29.1428571428571,M,19,Italiana,8
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A005,E1401A,29.1428571428571,M,20,Italiana,9
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A014,E1401A,29.3333333333333,F,19,Italiana,10
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,A5810077,E1401A,29.4285714285714,M,20,Italiana,7
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A010,E1401A,29.4285714285714,F,21,Italiana,9
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A074,E1401A,29.5,M,19,Italiana,6
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A010,E1401A,29.5714285714286,F,19,Italiana,8
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A010,E1401A,29.6666666666667,F,19,Italiana,7
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A007,E1401A,29.7142857142857,F,19,Italiana,6
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A005,E1401A,29.8,M,20,Italiana,5
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,A5810077,E1401A,30.0,F,28,Italiana,5
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,A5810138,E1401A,30.0,F,21,Italiana,2
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A005,E1401A,30.0,M,25.5,Italiana,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A008,E1401A,30.0,F,19,Italiana,4
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A011,E1401A,30.0,M,25.5,Italiana,4
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A025,E1401A,30.0,M,28,Italiana,3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A074,E1401A,30.0,F,25.5,Italiana,3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A086,E1401A,30.0,M,25.5,Italiana,2
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,E1401A087,E1401A,30.0,F,25.5,Italiana,1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N002,E1501N,27.1428571428571,M,19,Italiana,10
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,27.25,M,18,Italiana,9
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,27.25,M,19,Italiana,8
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N011,E1501N,27.25,M,19,Italiana,7
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,27.8,M,18,Italiana,6
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,28.0,M,19,Italiana,4
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N011,E1501N,28.0,M,20,Italiana,5
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N002,E1501N,28.5714285714286,F,19,Italiana,10
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N002,E1501N,28.5714285714286,F,20,Italiana,9
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,28.625,F,19,Italiana,8
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N005,E1501N,28.6666666666667,M,28,Extra Comunitaria,3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,28.75,F,21,Extra Comunitaria,7
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N002,E1501N,28.8333333333333,M,19,Italiana,2
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,28.875,F,19,Italiana,6
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,28.875,F,20,Italiana,5
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N002,E1501N,29.0,F,19,Italiana,4
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N001,E1501N,29.125,F,19,Italiana,3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N011,E1501N,29.25,F,19,Italiana,2
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N005,E1501N,29.6,F,19,Italiana,1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,E1501N007,E1501N,30.0,M,21,Extra Comunitaria,1
[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO),E1501N080,E1502N,19.0,F,25.5,Italiana,1
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,A5810060,E1601N,28.25,M,28,Italiana,10
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N003,E1601N,28.3333333333333,F,20,Italiana,9
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N017,E1601N,28.3333333333333,F,19,Italiana,10
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N001,E1601N,28.4,M,25.5,Italiana,9
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N006,E1601N,28.5,F,19,Italiana,8
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N017,E1601N,28.5,F,19,Italiana,7
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N001,E1601N,28.5714285714286,F,19,Italiana,6
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N001,E1601N,28.625,M,19,Italiana,8
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N001,E1601N,28.8,M,20,Italiana,7
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N017,E1601N,28.8333333333333,M,25.5,Italiana,6
