cdscod,cds,dtappello,commitment
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-04-19T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-04-21T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-04-28T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-05-06T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-06-27T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-07-17T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-07-19T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-07-20T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-09-06T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-09-25T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-11-07T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-11-20T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-11-22T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-12-09T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-01-30T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-02-20T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-06-07T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-06-14T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-06-20T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-06-22T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-07-14T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-07-20T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-07-21T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-07-27T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-09-22T00:00:00Z,2
F5602M,[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,2017-10-02T00:00:00Z,2
F5701R,[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE,2017-01-02T00:00:00Z,2
