cdscod,cds,dtappello,commitment
F0601Q,[F0601Q] BIOLOGIA,2017-10-07T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-10-11T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-10-27T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-10-30T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-11-07T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-11-10T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-11-22T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-11-24T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-11-28T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-12-07T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-12-10T00:00:00Z,2
F0601Q,[F0601Q] BIOLOGIA,2017-12-14T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-01-23T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-01-26T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-05-18T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-05-19T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-06-07T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-06-16T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-06-19T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-06-20T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-07-13T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-07-14T00:00:00Z,2
